timestep,x,y,z,qx,qy,qz,qw,roll,yaw,pitch,roll_a,pitch_a,yaw_a,acc_x,acc_y,acc_z,c_x,c_y,c_z,x_next,x_artis,y_next,y_artis,z_next,z_artis
1701865418.745844,-4.107741655180093,-3.923008161623057,0.0657060579447419,0.0348668448143431,0.001281180845173,0.9987177476606316,-0.0366813606073876,1.1522857640248443e-06,-0.0697949162370221,-3.0681687862193825,-8.674620941604456e-08,0.0016719829836814,-4.4116930191160506e-10,0.7559877081028976,0.0002498276844664,9.788092574588775,-0.0731793102264597,-0.9973056727192656,0.0051170027118278,-4.107742360951835,-7.05771741493777e-07,-3.923008213553665,-5.193060781394365e-08,0.0657066484086492,5.904639073101015e-07
1701865418.7546227,-4.107742360951835,-3.923008213553665,0.0657066484086492,0.0348614706772335,0.0012809833225302,0.9987179352669132,-0.0366813674791682,1.1520083288934072e-06,-0.0697841541539178,-3.0681687862409044,-3.4674181327749775e-08,0.00133782132501,-4.210207579765283e-09,0.7501115042387412,0.0002307822594142,9.787864711425186,-0.0731793652580508,-0.9973056727231712,0.0051162148715291,-4.10774292584896,-5.648971255212132e-07,-3.923008255099815,-4.1546150075788546e-08,0.0657071250509549,4.7664230569399724e-07
1701865418.766218,-4.10774292584896,-3.923008255099815,0.0657071250509549,0.034857169130751,0.0012808253622518,0.998718085409379,-0.0366813729678425,1.1520674425847896e-06,-0.0697755400198406,-3.06816878628965,6.92586464503472e-09,0.0010708124210905,-7.278333485200391e-09,0.7447225233090892,0.0002131837139136,9.78767062743914,-0.0731794092687041,-0.997305672727171,0.0051155845500404,-4.107743378189004,-4.5234004364402836e-07,-3.923008288348896,-3.32490812660069e-08,0.0657075109876653,3.859367103953293e-07
1701865418.7748165,-4.107743378189004,-3.923008288348896,0.0657075109876653,0.0348537245712447,0.0012806990118106,0.9987182056261674,-0.0366813773514761,1.1523954400772934e-06,-0.0697686420706116,-3.0681687863606006,4.0158087100625535e-08,0.0008574755916462,-9.786373439564188e-09,0.7397781337383578,0.0001970994248754,9.787504382179575,-0.0731794444754926,-0.9973056727312796,0.00511508008425,-4.107743740604462,-3.6241545853243906e-07,-3.9230083149692287,-2.6620332604920804e-08,0.0657078246846895,3.1369702420402934e-07
1701865418.7873824,-4.107743740604462,-3.9230083149692287,0.0657078246846895,0.0348509646769105,0.0012805979151452,0.9987183019394624,-0.0366813808522149,1.1529382760387782e-06,-0.0697631152177265,-3.0681687864497498,6.670675073005805e-08,0.0006870362900977,-1.1847010360619031e-08,0.7352403011584637,0.0001821993766085,9.787361179262856,-0.0731794726496254,-0.997305672735509,0.0051146761673239,-4.107744031184153,-2.905796909757896e-07,-3.923008336294204,-2.132497511908582e-08,0.0657080808933858,2.5620869630038623e-07
1701865418.7956176,-4.107744031184153,-3.923008336294204,0.0657080808933858,0.0348487517191776,0.0012805169921615,0.998718379160787,-0.0366813836475459,1.153652757369087e-06,-0.0697586836485795,-3.068168786553896,8.79138897255001e-08,0.0005508829146212,-1.355004856536796e-08,0.7310740304197612,0.0001685973693711,9.787237141373245,-0.0731794952062401,-0.9973056727398688,0.0051143525726972,-4.1077442643854125,-2.3320125919212842e-07,-3.923008353389523,-1.7095318938231685e-08,0.0657082913978445,2.1050445869752465e-07
1701865418.8064735,-4.1077442643854125,-3.923008353389523,0.0657082913978445,0.0348469756183413,0.0012804521826022,0.9987184411346562,-0.0366813858792857,1.154504389181474e-06,-0.0697551269197342,-3.06816878667048,1.0485517564885821e-07,0.0004421325918237,-1.4967436845359016e-08,0.7272481086858514,0.0001559805677752,9.787129121410418,-0.0731795132760629,-0.9973056727443662,0.0051140931342767,-4.107744451763153,-1.8737774087895787e-07,-3.923008367106936,-1.3717412983282884e-08,0.0657084656118022,1.742139577043389e-07
1701865418.815153,-4.107744451763153,-3.923008367106936,0.0657084656118022,0.0348455483931049,0.0012804002413023,0.9987184909330994,-0.036681387660756,1.155465599035244e-06,-0.0697522688416375,-3.068168786797458,1.183866819756516e-07,0.0003552841758526,-1.6156458626214333e-08,0.7237336590803733,0.0001444519699437,9.787034561252256,-0.0731795277626228,-0.9973056727490068,0.0051138849312859,-4.107744602552549,-1.5078939519241885e-07,-3.9230083781272,-1.102026425670033e-08,0.0657086110554618,1.4544365960211803e-07
1701865418.8238342,-4.107744602552549,-3.9230083781272,0.0657086110554618,0.0348443997244254,0.0012803585745705,0.9987185310109864,-0.0366813890825123,1.1565143628528951e-06,-0.0697499685948371,-3.0681687869331964,1.2919455030729992e-07,0.0002859408529213,-1.7163010897370513e-08,0.7205047326327649,0.0001338488809875,9.786951371877336,-0.0731795393879323,-0.9973056727537958,0.0051137176368013,-4.107744724134733,-1.2158218432034573e-07,-3.9230083869944017,-8.867201639617406e-09,0.0657087337363832,1.2268092139389175e-07
1701865418.8308392,-4.107744724134733,-3.9230083869944017,0.0657087337363832,0.0348434734098576,0.0012803251094066,0.9987185633300828,-0.0366813902169207,1.1576330893353478e-06,-0.0697481136295069,-3.06816878707639,1.3782697171530446e-07,0.0002305884605776,-1.802376267215304e-08,0.7175376900709605,0.000124015967893,9.786877842188405,-0.0731795487289753,-0.9973056727587366,0.0051135829970438,-4.107744822409015,-9.827428204545186e-08,-3.923008394143399,-7.148997394068601e-09,0.0657088384537486,1.0471736540396126e-07
1701865418.8546195,-4.107744822409015,-3.923008394143399,0.0657088384537486,0.0348427245296373,0.0012802981889627,0.9987185894581456,-0.0366813911218132,1.1588077108725867e-06,-0.0697466139902905,-3.068168787225995,1.4471970545270756e-07,0.0001864183080336,-1.876788162320516e-08,0.7148106161623147,0.0001150753642939,9.786812566158016,-0.073179556246852,-0.997305672763832,0.0051134744151758,-4.107744902090355,-7.968133974856073e-08,-3.923008399921745,-5.778345801843443e-09,0.0657089290414233,9.058767469483087e-08
1701865418.861271,-4.107744902090355,-3.923008399921745,0.0657089290414233,0.0348421171817514,0.0012802764890162,0.998718610648082,-0.0366813918434081,1.1600270018518963e-06,-0.0697453977805961,-3.0681687873811767,1.5022422087908561e-07,0.0001511855324695,-1.9418870822054626e-08,0.712304008543815,0.0001067467315587,9.786754381290834,-0.0731795623100622,-0.997305672769084,0.0051133866187068,-4.10774496694713,-6.485677506162801e-08,-3.923008404607221,-4.6854760071823875e-09,0.0657090085621211,7.952069780436943e-08
1701865418.8711011,-4.10774496694713,-3.923008404607221,0.0657090085621211,0.0348416226715806,0.0012802589511795,0.9987186279012016,-0.036681392418642,1.1612819806200528e-06,-0.0697444075372067,-3.0681687875412686,1.5461801271980172e-07,0.0001230959387926,-1.9995313485790437e-08,0.7099995286738391,9.91629891618896e-05,9.78670232443208,-0.0731795672131056,-0.9973056727744952,0.0051133153935976,-4.107745019991164,-5.304403405403946e-08,-3.9230084084218375,-3.814616622577205e-09,0.0657090794625145,7.090039340351684e-08
1701865418.8809838,-4.107745019991164,-3.9230084084218375,0.0657090794625145,0.0348412180650544,0.0012802447295443,0.9987186420177488,-0.0366813928770353,1.1625654761360532e-06,-0.0697435973328577,-3.068168787705737,1.581249988630838e-07,0.0001007155069266,-2.051219183938019e-08,0.7078807347447764,9.218900949974862e-05,9.786655591903235,-0.0731795711913471,-0.997305672780066,0.0051132573717992,-4.1077450636296025,-4.363843864041428e-08,-3.923008411543031,-3.1211935258568246e-09,0.0657091436971455,6.423463100313498e-08
1701865418.8946369,-4.1077450636296025,-3.923008411543031,0.0657091436971455,0.0348408850322224,0.0012802331480255,0.9987186536372848,-0.0366813932421804,1.1638717641533804e-06,-0.0697429304603972,-3.068168787874156,1.6092409839160178e-07,8.289809601326268e-05,-2.0981478570610506e-08,0.7059325828068035,8.569476378418905e-05,9.78661351024601,-0.0731795744328909,-0.9973056727857986,0.0051132098614209,-4.107745099786314,-3.6156711402668407e-08,-3.923008414112618,-2.569586765588383e-09,0.0657092028274105,5.913026498993723e-08
1701865418.9022317,-4.107745099786314,-3.923008414112618,0.0657092028274105,0.0348406089229409,0.0012802236662593,0.998718663270956,-0.0366813935329339,1.1651962583060962e-06,-0.0697423775817727,-3.068168788046184,1.6315603303389225e-07,6.872766233982813e-05,-2.1412610311322357e-08,0.7041409436198656,7.982558956527436e-05,9.786575512746731,-0.0731795770880752,-0.9973056727916928,0.0051131707109676,-4.107745129998898,-3.0212584434252676e-08,-3.923008416243937,-2.131319121190245e-09,0.0657092581006387,5.527322820275682e-08
1701865418.9109645,-4.107745129998898,-3.923008416243937,0.0657092581006387,0.0348403780282024,0.0012802158523718,0.9987186713272797,-0.0366813937643654,1.1665353083625972e-06,-0.0697419152487877,-3.068168788221548,1.6493656805009674e-07,5.747204517258393e-05,-2.1813327155368315e-08,0.7024933808241929,7.432266459678025e-05,9.786541118465,-0.073179579277051,-0.9973056727977498,0.0051131382008896,-4.107745155496235,-2.549733668644194e-08,-3.9230084180275737,-1.7836367938173225e-09,0.0657093105132609,5.241262220068155e-08
1701865418.921246,-4.107745155496235,-3.9230084180275737,0.0657093105132609,0.0348401829896463,0.0012802093611845,0.9987186781327528,-0.0366813939485198,1.1678859851515657e-06,-0.0697415247205986,-3.06816878840003,1.6635487501195977e-07,4.854607922757511e-05,-2.2189618029554395e-08,0.7009779785077325,6.933844861687448e-05,9.786509918405494,-0.0731795810958475,-0.99730567280397,0.0051131109568343,-4.1077451772604645,-2.1764229529708246e-08,-3.923008419535925,-1.508351221701787e-09,0.0657093608612763,5.034801539571809e-08
